model_name,threshold,single_evaluation_metric,train_distribution,test_distribution,train_win_rate,test_win_rate
V8,"[0, 0.9, 1]",7.5415283725907685,"[94.99048826886494, 5.009511731135067]","[95.69620253164557, 4.30379746835443]","[69.826435246996, 73.41772151898735]","[72.22222222222221, 47.05882352941176]"
V9,"[0, 0.45, 1]",0.5975171059271567,"[69.56246036778694, 30.437539632213063]","[69.87341772151898, 30.126582278481013]","[68.00364630811303, 74.58333333333333]","[69.56521739130434, 74.78991596638656]"
V9,"[0, 0.5, 1]",0.48253002354820396,"[71.02092580849715, 28.979074191502853]","[70.88607594936708, 29.11392405063291]","[68.03571428571429, 74.83588621444201]","[69.64285714285714, 74.78260869565217]"
V9,"[0, 0.55, 1]",0.5622103508679777,"[72.85986049461002, 27.140139505389982]","[72.9113924050633, 27.088607594936708]","[68.23324630113142, 74.76635514018692]","[69.44444444444444, 75.70093457943925]"
V9,"[0, 0.6, 1]",0.8315504181172884,"[75.01585288522512, 24.98414711477489]","[74.17721518987341, 25.82278481012658]","[67.96280642434489, 76.14213197969542]","[69.28327645051195, 76.47058823529412]"
V9,"[0, 0.65, 1]",0.9990838038555463,"[77.86937222574508, 22.130627774254915]","[76.70886075949367, 23.29113924050633]","[68.40390879478826, 75.64469914040114]","[69.63696369636963, 76.08695652173914]"
V9,"[0, 0.7, 1]",0.889743673558038,"[81.80088776157261, 18.199112238427396]","[81.51898734177216, 18.48101265822785]","[68.21705426356588, 78.04878048780488]","[69.87577639751554, 76.71232876712328]"
V9,"[0, 0.75, 1]",2.0588002970017447,"[89.79074191502853, 10.209258084971465]","[87.0886075949367, 12.91139240506329]","[69.0677966101695, 78.26086956521739]","[69.76744186046511, 80.3921568627451]"
V9,"[0, 0.8, 1]",1.6021263128505656,"[90.67850348763476, 9.32149651236525]","[88.35443037974684, 11.645569620253164]","[69.0909090909091, 78.91156462585033]","[70.20057306590259, 78.26086956521739]"
V9,"[0, 0.85, 1]",2.186600703212469,"[91.24920735573875, 8.750792644261256]","[89.36708860759494, 10.632911392405063]","[69.07574704656011, 79.71014492753623]","[70.53824362606233, 76.19047619047619]"
V9,"[0, 0.9, 1]",2.8004053096621595,"[96.13189600507293, 3.868103994927077]","[94.17721518987342, 5.822784810126582]","[69.78891820580475, 75.40983606557377]","[71.23655913978494, 69.56521739130434]"
V10,"[0, 0.45, 1]",1.557300864390983,"[18.325935320228282, 81.67406467977172]","[15.69620253164557, 84.30379746835443]","[58.13148788927336, 72.67080745341616]","[58.06451612903226, 73.57357357357357]"
V10,"[0, 0.5, 1]",1.4261868266277258,"[20.355104629042486, 79.64489537095751]","[20.253164556962027, 79.74683544303798]","[58.25545171339564, 73.00955414012739]","[63.74999999999999, 73.01587301587301]"
V10,"[0, 0.55, 1]",2.6460267214685267,"[21.813570069752693, 78.1864299302473]","[22.78481012658228, 77.21518987341773]","[58.720930232558146, 73.15490673154906]","[66.66666666666666, 72.45901639344262]"
V10,"[0, 0.6, 1]",2.5968573365426195,"[23.652504755865568, 76.34749524413444]","[24.556962025316455, 75.44303797468355]","[60.32171581769437, 73.00664451827242]","[68.04123711340206, 72.14765100671141]"
V10,"[0, 0.65, 1]",2.631180520202242,"[25.745085605580215, 74.25491439441979]","[26.582278481012654, 73.41772151898735]","[60.83743842364532, 73.18531169940222]","[68.57142857142857, 72.06896551724138]"
V10,"[0, 0.7, 1]",2.4958436073182364,"[27.77425491439442, 72.22574508560558]","[27.59493670886076, 72.40506329113924]","[61.64383561643836, 73.22212467076383]","[69.72477064220183, 71.67832167832168]"
V10,"[0, 0.75, 1]",3.275468362875782,"[30.120481927710845, 69.87951807228916]","[28.860759493670884, 71.13924050632912]","[62.526315789473685, 73.23049001814881]","[71.05263157894737, 71.17437722419929]"
